-5709587.96117131,-1266338.46093915,2536678.88646012
5686615.30839556,1365900.73627123,-2536625.52813649
-4637907.85617592,342359.433291173,5441647.36516684
-6849449.84582962,130567.478383643,2075310.64031922
-6886339.9053324,-122678.728364982,-1949922.54938557
-4736865.70144484,-336975.305664192,-5356069.10715471
-1083470.10644221,-444284.604368759,-7061701.56757817
2913919.59192187,-410536.68035125,-6525293.67589452
5986160.40862269,-246446.261035793,-3917151.14763634
7157837.59177416,-4110.89514754048,-65340.8072710103
6056951.91440098,239529.650903859,3807214.77772678
3033026.8005827,407121.225228921,6471006.57129045
-953862.892077375,445454.687124919,7080299.500417
-3036389.37684889,-4697061.79205246,4467311.87455825
-3600144.21842497,-6142003.33799567,744098.05359255
-3020878.70805462,-5636902.22144706,-3215361.64184317
-1482505.55238594,-3342124.4780369,-6153966.73465339
526552.641281623,13754.1728268726,-7138730.87106232
2368434.09178544,3365265.97100045,-5856998.39577098
3458354.45270299,5648329.60121447,-2715710.31339553
3450271.71045224,6138088.49223279,1287796.60519096
2346752.07858787,4679047.65662804,4882437.20076523
498155.243129704,1734442.25061483,6926938.48274933
-1508602.36222544,-1760836.31498534,6772185.73986905
2984549.86227815,-5588594.45211322,3331516.09333556
3599279.49924439,-6156874.7232247,-614008.175519469
3071263.32649423,-4770390.77211033,-4364589.18702153
1568142.74809185,-1869341.45682149,-6729443.97035776
-432852.07286251,1625210.56287263,-6957747.84108442
-2296419.41906962,4603769.71204378,-4977015.93336381
-3430889.82544638,6120664.50632342,-1416116.63271434
-3476076.95375302,5694291.56639419,2594389.69301995
-2417634.21002919,3460021.28807643,5781195.62230197
-591609.686808145,127218.698136612,7132512.78947947
1422246.73186023,-3245974.92957729,6219307.54192439
6849449.84582962,-130567.478383644,2075310.64031922
6886339.9053324,122678.728364981,-1949922.54938557
4736865.70144484,336975.305664192,-5356069.10715471
1083470.10644221,444284.604368759,-7061701.56757817
-2913919.59192187,410536.68035125,-6525293.67589452
-5986160.40862269,246446.261035794,-3917151.14763634
-7157837.59177416,4110.89514754136,-65340.8072710103
-6056951.91440098,-239529.650903859,3807214.77772678
-3033026.8005827,-407121.22522892,6471006.57129045
953862.892077375,-445454.687124919,7080299.500417
4637907.85617592,-342359.433291173,5441647.36516684
3600144.21842498,6142003.33799567,744098.05359255
3020878.70805463,5636902.22144706,-3215361.64184317
1482505.55238594,3342124.4780369,-6153966.73465339
-526552.641281623,-13754.1728268724,-7138730.87106232
-2368434.09178545,-3365265.97100045,-5856998.39577098
-3458354.45270299,-5648329.60121447,-2715710.31339553
-3450271.71045224,-6138088.49223279,1287796.60519096
-2346752.07858787,-4679047.65662804,4882437.20076523
-498155.243129704,-1734442.25061483,6926938.48274933
1508602.36222544,1760836.31498534,6772185.73986905
3036389.37684889,4697061.79205246,4467311.87455825
-3599279.4992444,6156874.7232247,-614008.175519469
-3071263.32649423,4770390.77211033,-4364589.18702153
-1568142.74809185,1869341.45682149,-6729443.97035776
432852.072862511,-1625210.56287263,-6957747.84108442
2296419.41906962,-4603769.71204378,-4977015.93336381
3430889.82544638,-6120664.50632342,-1416116.63271434
3476076.95375302,-5694291.56639419,2594389.69301995
2417634.21002919,-3460021.28807643,5781195.62230197
591609.686808118,-127218.698136565,7132512.78947947
-1422246.73186024,3245974.92957729,6219307.54192439
-2984549.86227815,5588594.45211322,3331516.09333556
